account,balance
gqztgmrwgene,3286042.1108
gqztgmjzgene,3270733.0654
gezdgojygene,2283195.3267
gezdgojsgene,2093734.3850
gezdenbtgene,2000668.2744
gezdgnjzgene,1914919.2124
gezdenbygene,1914704.4563
gezdenzugene,1608431.5098
gezdcobsgene,1528855.2668
gezdenjxgene,1488290.7848
gezdgnjsgene,1389196.1622
gezdemrrgene,1387061.3761
gezdgnrvgene,1315350.7268
gezdgnzqgene,1280897.7048
gezdembwgene,1187956.9899
ge4dknjygyge,800000.4984
ge4dimrzhege,800000.2287
gy4tsobxguge,786761.7499
gezdimbvgene,734576.4720
gezdemzugene,623099.6236
haytinzzg4ge,568087.9992
gqydimjvgene,514734.7569
gqztgmjrgene,387502.9254
gu3tmnrqgege,370966.8898
geytsmjqgene,278559.6663
ge2dinrsgege,250000.0000
gy4tkmjugige,233726.5000
gy4tkmjzgige,233715.2500
heydemjzgene,229533.4371
g42dcmygenes,216733.3230
giydgnjrg4ge,216291.8665
ha2dmmbygene,197883.0000
guytanrxguge,172111.0000
ge3tanbzhege,167538.9030
gyztqnzrgmge,154309.5711
g44donagenes,153397.2485
ge4dombsguge,140000.0000
hazdemztgyge,119499.5456
geytsobrgene,116526.6806
gu4tknjugqge,111187.0177
ge2tmmbtgqge,106621.2068
gi3dimbxgage,103913.1525
gy2tsmrxhage,100932.1248
gu2dsoagenes,100628.5950
gqzdamrtgyge,100119.4074
gu4timjsg4ge,100000.0000
gu4timjsgyge,100000.0000
geztambugige,99999.9999
ge3damjshage,99875.7776
gezdqnjtgene,99187.3966
g44tgnzrgene,96200.7247
gi2tgnzrguge,94565.6066
gqytomrsgige,89998.9000
gizdsnbsgage,87699.7064
ge2dinzxhege,86826.1106
gy3tamrthage,83658.8583
geydimzqgene,81190.0957
guztenigenes,80479.1605
gyytqmrzgqge,80423.8000
gezdenztgmge,79312.4090
gyzdimbrgage,77964.2067
gu4damztgyge,72449.3252
gy4dcmrrgyge,72289.3183
ge2tgmjwhege,72179.8112
ge4temrxgyge,71989.1233
geytomzsgene,70242.3362
ha3damztguge,69999.0000
gy4doojzgqge,69998.8000
ge2tgnbvhege,68776.0000
guydombyguge,65508.8275
gq4dqobxgyge,62470.4200
gezdgmzrgene,61387.4943
geytcobzgene,61358.8994
gq2tmnagenes,61305.7633
gyztqnbtgege,59225.4165
giytsmjwguge,57301.6088
hazdkmjzgage,56509.2463
heydcnjug4ge,55801.0528
gi3dcnjvhage,55087.7466
gy4daobshege,51794.8000
ge3diojug4ge,51400.1063
gyytamygenes,51108.8994
gqydinzrgmge,50523.6784
gmzdinjxguge,50398.8177
gqztcmbshage,50000.0000
gqztanjsg4ge,50000.0000
gyztqnbyguge,49899.7000
gmytsoagenes,49087.1195
ge2timrzgege,48550.3746
g4ydkobzgmge,48112.0000
gu3dkmbrgqge,46616.5457
gu2tcmbygmge,45982.4293
g42dmobxgege,45650.8973
gezdsmrtgene,45484.2154
gi4tonbyguge,43298.4923
gqydonrqguge,43247.0000
gmztqmbxgqge,42494.9680
geydimzugene,42329.6317
gm4tiojug4ge,41894.0690
gm3dmmbrhage,41821.2480
g4ydambtgige,41328.8182
haytcmbygyge,41193.3284
gezdeobqhege,41013.9950
g44temjxgyge,40902.5833
gezdombwhege,40552.8224
haztgmjuguge,40546.0823
ge2dmmjwgqge,39850.1428
ha2tenbvgyge,38763.2530
gu3tknrvgyge,37986.0329
ge4dmnzyg4ge,37578.0642
ha2timzyg4ge,37420.0095
g44dmmryguge,37204.8956
gyztkmrvgage,36774.3588
ge4demzrgege,36199.0090
g44tonbyhage,36147.4496
gm2dsnzvgage,34667.6946
geytemjtgene,33696.6761
gqydcobrgmge,33065.0799
gm4dgojzhege,31957.0029
gqydanbwgene,31894.4720
heytcnigenes,31872.5116
g4zdmnzxgyge,31789.9321
ge3tenrugyge,31155.5190
gq3demzrhege,31004.6112
gu2tsmzqgyge,30760.0000
gu2denbvguge,30753.2350
gy2daoagenes,30679.4497
giydmnrtgage,30490.8722
gq2tgojrgege,30005.0000
ha4tgmzrguge,30002.0000
geztgmrsgene,29908.9358
gu4tsmjrg4ge,29827.3737
gezdqmrwg4ge,29683.3601
he4dkobugene,29605.3200
guztaojxhege,29499.5529
geytqmzsgene,29145.4772
gyzdgnjugene,29030.1008
gq4dsobvgage,29000.0000
gu3daobqgene,28991.3103
gezdinzxgene,28869.5327
gm2tcnztgene,28685.2786
gq3tqnrygyge,28455.0000
guzdemzwguge,28416.8700
ge2dkojsgyge,28271.3513
ha2dmojyhege,27337.7944
guydonrqgqge,26530.3006
he3tcmjygene,26290.0754
giytcnryg4ge,26217.4186
gqztcobyhege,26119.6095
gq2tcnjugyge,25998.1873
gmytemrsgqge,25971.5570
guzdqmigenes,25921.0645
g42tombug4ge,25423.7300
gmytqmrwhage,25379.6326
gi4timjzgege,25344.0903
haydimbzgige,25000.1484
gyztinzsgige,25000.0000
g4ztmnrugige,24997.0000
ge4dgnrugyge,24975.5002
gy3dqnztgege,24897.8889
g42dimrtgyge,24860.0526
gi2tanjtguge,24843.4853
guytombzg4ge,24822.1825
g44tenrsg4ge,24616.0000
hezdonbqg4ge,24585.8138
gezdmmjvgene,24555.8315
ge3timzuguge,24520.4985
ge4teojugege,24373.2214
ge3donrwgene,24131.1228
ha4dsnbsgage,23998.3000
gy3temjrgene,23934.4607
gmytqmbxg4ge,23893.2489
gu2dimzxhege,23796.0000
haydgobrgyge,23500.0000
geztinrzgmge,23411.0960
gu2dgnzshage,23146.1391
gi3temygenes,23109.5047
gyztenagenes,23024.4410
gm4demygenes,23001.4543
ge4danruguge,22836.7900
gq4dcobwhege,22832.1690
gq4tqmbzguge,22545.8251
gezdimztgene,22501.2149
he3dsoagenes,22254.6071
gyzdsnrugyge,22216.5593
ge2tmmrxgyge,22085.6456
ha2dmojuguge,22007.0000
geztmmjthage,21998.3317
ha2dombsgmge,21998.0000
ge4dcnrugmge,21584.2600
geytmojugene,21568.4179
gu4tqmzvgage,21504.3047
gq3dsojqgige,21247.0000
